cell,tissue,subtissue,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id,tSNE_1,tSNE_2,plate.barcode,subsetA,subsetA_cluster.ids
A18.MAA000578.3_10_M.1.1,Brain_Non-Myeloid,Cerebellum,oligodendrocyte,CL:0000128,NA,0,M,3_10_M,-16.04593432914805,-9.281685603370173,MAA000578,FALSE,NA
A18.MAA000581.3_10_M.1.1,Brain_Non-Myeloid,Cerebellum,endothelial cell,CL:0000115,NA,1,M,3_10_M,-11.297288647791106,25.00813519427023,MAA000581,FALSE,NA
A18.MAA000926.3_9_M.1.1,Brain_Non-Myeloid,Cortex,oligodendrocyte,CL:0000128,NA,0,M,3_9_M,-16.9133006962021,-16.35501521466349,MAA000926,FALSE,NA
A18.MAA000930.3_8_M.1.1,Brain_Non-Myeloid,Cortex,endothelial cell,CL:0000115,NA,5,M,3_8_M,-9.239055975960046,27.198683180729798,MAA000930,FALSE,NA
A18.MAA000932.3_11_M.1.1,Brain_Non-Myeloid,Hippocampus,oligodendrocyte,CL:0000128,NA,0,M,3_11_M,-9.112071895268333,2.6105790508244695,MAA000932,FALSE,NA
A18.MAA000935.3_8_M.1.1,Brain_Non-Myeloid,Hippocampus,oligodendrocyte,CL:0000128,NA,3,M,3_8_M,12.13970401375883,-24.427959278419177,MAA000935,FALSE,NA
A18.MAA000941.3_8_M.1.1,Brain_Non-Myeloid,Hippocampus,endothelial cell,CL:0000115,NA,1,M,3_8_M,-19.297167515443043,22.20078110662861,MAA000941,FALSE,NA
A18.MAA000942.3_8_M.1.1,Brain_Non-Myeloid,Striatum,oligodendrocyte,CL:0000128,NA,3,M,3_8_M,2.95506824880844,-28.903950018975873,MAA000942,FALSE,NA
A18.MAA000944.3_9_M.1.1,Brain_Non-Myeloid,Cortex,oligodendrocyte,CL:0000128,NA,0,M,3_9_M,-9.751296357334475,-23.954804223960934,MAA000944,FALSE,NA
A18.MAA001845.3_39_F.1.1,Brain_Non-Myeloid,Cerebellum,endothelial cell,CL:0000115,NA,1,F,3_39_F,-15.530253687055934,14.75050928097327,MAA001845,FALSE,NA
