cell,tissue,subtissue,FACS.selection,plate.barcode,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id,subsetA,subsetA_cluster.ids,subsetB,subsetB_cluster.ids,subsetC,subsetC_cluster.ids,subsetD,subsetD_cluster.ids,subsetE,subsetE_cluster.ids
O21.D042479.3_8_M.1.1,Marrow,B-cells,Multiple,D042479,late pro-B cell,CL:0002048,Dntt- late pro-B cell,8,M,3_8_M,FALSE,NA,FALSE,NA,TRUE,2,FALSE,NA,FALSE,NA
O21.D045140.3_38_F.1.1,Marrow,Granulocytes,Multiple,D045140,granulocyte,CL:0000094,NA,3,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O21.MAA000409.3_10_M.1.1,Marrow,Granulocytes,Multiple,MAA000409,granulocyte monocyte progenitor cell,CL:0000557,NA,7,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,3
O21.MAA000596.3_9_M.1.1,Marrow,KLS,Multiple,MAA000596,Slamf1-negative multipotent progenitor cell,CL:0002035,NA,0,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,3,FALSE,NA
O21.MAA000600.3_8_M.1.1,Marrow,KLS,Multiple,MAA000600,Slamf1-negative multipotent progenitor cell,CL:0002035,NA,0,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,3,FALSE,NA
O21.MAA000639.3_9_M.1.1,Marrow,Granulocytes,Multiple,MAA000639,granulocyte,CL:0000094,NA,3,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O21.MAA000652.3_10_M.1.1,Marrow,B-cells,Multiple,MAA000652,naive B cell,CL:0000788,NA,1,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O21.MAA000844.3_10_M.1.1,Marrow,T-cells,Multiple,MAA000844,immature B cell,CL:0000816,NA,6,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O21.MAA000848.3_10_M.1.1,Marrow,KLS,Multiple,MAA000848,Slamf1-negative multipotent progenitor cell,CL:0002035,NA,0,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,1,FALSE,NA
O21.MAA001844.3_38_F.1.1,Marrow,KLS,Multiple,MAA001844,hematopoietic precursor cell,CL:0008001,NA,4,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O21.MAA001883.3_39_F.1.1,Marrow,B-cells,Multiple,MAA001883,macrophage,CL:0000235,NA,10,F,3_39_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O21.MAA001884.3_38_F.1.1,Marrow,B-cells,Multiple,MAA001884,immature B cell,CL:0000816,NA,6,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
