"","plate.barcode","cell_ontology_class","cell_ontology_id","free_annotation","tSNE_1","tSNE_2"
"E5.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-12.5569082154107,-3.22466834039798
"F10.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-11.5239260002479,12.3726497355802
"G16.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-7.02882726138812,0.0460223207335981
"I1.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-6.60636801607052,33.0226309311911
"J6.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-7.31216589327832,36.2450790216895
"K8.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-18.2285639313333,23.551565801862
"M16.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-10.5896847510427,10.9012339635771
"L12.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-6.36188591591837,3.14202822967058
"N22.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-11.5366239988549,3.09449919964174
"A12.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-8.60112762050601,9.58163634295708
"M18.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-9.67126583473805,0.101548611882436
"D3.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,10.9010996998075,23.3519640241526
"E6.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,9.27660533432306,26.3709616760813
"F11.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-10.0610026094318,-1.81180658574622
"G17.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-11.1309246668642,12.6301875776498
"I2.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-20.3669672229615,23.7039753577272
"J7.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-5.81752950104593,34.4652702843064
"K9.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-6.94152356484765,36.0155346886524
"L13.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-10.8653101465825,13.0918615758639
"M19.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-9.6111683295524,-0.398619394773575
"O2.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt+ late pro-B cell",-3.9791239971889,30.7378546577809
"O1.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-6.58483987760215,3.45009607756159
"P8.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-19.1593841648123,16.6787698758409
"P7.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-17.4754087761275,-2.28687787874025
"A14.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-6.45918810632721,-2.65784192357989
