"","nGene","nReads","orig.ident"
"B16.MAA000920.3_11_M.1.1",3641,1471368,"Heart"
"B17.B000634.3_56_F.1.1",3009,1008496,"Heart"
"B17.B002010.3_39_F.1.1",3234,1473507,"Heart"
"B17.B002011.3_38_F.1.1",1796,1445433,"Heart"
"B17.B002421.3_39_F.1.1",1887,971544,"Heart"
"B17.B002423.3_39_F.1.1",2353,592081,"Heart"
"B17.B002427.3_39_F.1.1",2652,908630,"Heart"
"B17.B002428.3_38_F.1.1",2937,860014,"Heart"
"B17.B002429.3_38_F.1.1",614,237993,"Heart"
"B17.MAA000589.3_9_M.1.1",1659,280926,"Heart"
"B17.MAA000903.3_11_M.1.1",1367,452876,"Heart"
"B18.B000412.3_56_F.1.1",1446,435165,"Heart"
"B18.B000633.3_56_F.1.1",2154,556426,"Heart"
"B18.B002010.3_39_F.1.1",2477,1155204,"Heart"
"B18.B002011.3_38_F.1.1",1810,1222405,"Heart"
"B18.B002421.3_39_F.1.1",1459,868110,"Heart"
"B18.B002423.3_39_F.1.1",2649,1279231,"Heart"
"B18.B002427.3_39_F.1.1",2672,1210258,"Heart"
"B18.B002428.3_38_F.1.1",2478,960526,"Heart"
"B18.B002429.3_38_F.1.1",1500,831971,"Heart"
"B18.MAA000398.3_9_M.1.1",3995,458172,"Heart"
"B18.MAA000903.3_11_M.1.1",2651,1079213,"Heart"
"B18.MAA000920.3_11_M.1.1",1298,288464,"Heart"
"B18.MAA000936.3_9_M.1.1",4002,374284,"Heart"
"B19.B000412.3_56_F.1.1",1795,630762,"Heart"
"B19.B000634.3_56_F.1.1",3470,872309,"Heart"
"B19.B002010.3_39_F.1.1",3257,1098113,"Heart"
"B19.B002011.3_38_F.1.1",1675,1048519,"Heart"
"B19.B002421.3_39_F.1.1",992,291813,"Heart"
"B19.B002423.3_39_F.1.1",3809,1644045,"Heart"
"B19.B002427.3_39_F.1.1",2228,1133060,"Heart"
"B19.B002428.3_38_F.1.1",1880,826107,"Heart"
"B19.MAA000452.3_8_M.1.1",4853,1415917,"Heart"
"B19.MAA000586.3_8_M.1.1",2824,947788,"Heart"
"B19.MAA000587.3_8_M.1.1",1986,456323,"Heart"
"B19.MAA000903.3_11_M.1.1",2863,1636983,"Heart"
"B19.MAA000918.3_10_M.1.1",2711,356756,"Heart"
"B19.MAA000919.3_10_M.1.1",3035,1161415,"Heart"
"B19.MAA000936.3_9_M.1.1",2692,202023,"Heart"
"B2.B000633.3_56_F.1.1",3978,856108,"Heart"
"B2.B000634.3_56_F.1.1",3476,1127064,"Heart"
"B2.B000636.3_56_F.1.1",1998,1283828,"Heart"
"B2.B002010.3_39_F.1.1",2669,977539,"Heart"
"B2.B002423.3_39_F.1.1",1819,741102,"Heart"
"B2.B002427.3_39_F.1.1",2662,981084,"Heart"
"B2.B002428.3_38_F.1.1",1154,551089,"Heart"
"B2.MAA000586.3_8_M.1.1",3189,1611076,"Heart"
"B2.MAA000589.3_9_M.1.1",1424,87377,"Heart"
"B2.MAA000901.3_10_M.1.1",1898,726629,"Heart"
"B2.MAA000919.3_10_M.1.1",4451,1355621,"Heart"
"B2.MAA100037.3_10_M.1.1",4188,378233,"Heart"
"B2.MAA100096.3_38_F.1.1",3628,242060,"Heart"
"B2.MAA100097.3_38_F.1.1",5809,1368154,"Heart"
"B20.B000633.3_56_F.1.1",2316,304646,"Heart"
"B20.B000634.3_56_F.1.1",3028,637633,"Heart"
"B20.B000636.3_56_F.1.1",3883,3099251,"Heart"
"B20.B002010.3_39_F.1.1",3095,1317975,"Heart"
"B20.B002011.3_38_F.1.1",2024,1260550,"Heart"
"B20.B002421.3_39_F.1.1",1203,598233,"Heart"
"B20.B002427.3_39_F.1.1",2049,1163651,"Heart"
"B20.B002428.3_38_F.1.1",2243,828476,"Heart"
"B20.MAA000398.3_9_M.1.1",4122,508596,"Heart"
"B20.MAA000399.3_9_M.1.1",2388,769060,"Heart"
"B20.MAA000400.3_8_M.1.1",4179,1327251,"Heart"
"B20.MAA000586.3_8_M.1.1",3313,1646196,"Heart"
"B20.MAA000587.3_8_M.1.1",2313,713371,"Heart"
"B20.MAA000903.3_11_M.1.1",2182,562870,"Heart"
"B20.MAA000919.3_10_M.1.1",4213,1293647,"Heart"
"B20.MAA000936.3_9_M.1.1",1638,75479,"Heart"
"B21.B000633.3_56_F.1.1",2670,729175,"Heart"
"B21.B002010.3_39_F.1.1",2739,904075,"Heart"
"B21.B002011.3_38_F.1.1",1482,892631,"Heart"
"B21.B002423.3_39_F.1.1",2463,1435166,"Heart"
"B21.B002427.3_39_F.1.1",2139,1340994,"Heart"
"B21.B002428.3_38_F.1.1",1656,717854,"Heart"
"B21.MAA000398.3_9_M.1.1",1619,173657,"Heart"
"B21.MAA000400.3_8_M.1.1",3519,854167,"Heart"
"B21.MAA000586.3_8_M.1.1",2479,457041,"Heart"
"B21.MAA000587.3_8_M.1.1",2055,586570,"Heart"
"B21.MAA000589.3_9_M.1.1",2137,234503,"Heart"
"B21.MAA000936.3_9_M.1.1",3644,354356,"Heart"
"B22.B000412.3_56_F.1.1",2094,1660845,"Heart"
"B22.B000633.3_56_F.1.1",1437,340416,"Heart"
"B22.B002010.3_39_F.1.1",3169,793687,"Heart"
"B22.B002421.3_39_F.1.1",1267,539641,"Heart"
"B22.B002423.3_39_F.1.1",2348,1176972,"Heart"
"B22.B002427.3_39_F.1.1",1843,1269859,"Heart"
"B22.B002428.3_38_F.1.1",2063,1008073,"Heart"
