"","nGene","nReads","orig.ident"
"A7.MAA000848.3_10_M.1.1",3654,513467,"Marrow"
"A7.MAA001883.3_39_F.1.1",1683,128953,"Marrow"
"A7.MAA001884.3_38_F.1.1",1759,971044,"Marrow"
"A7.MAA001887.3_39_F.1.1",6613,1204879,"Marrow"
"A8.D041912.3_8_M.1.1",2982,962274,"Marrow"
"A8.D042044.3_9_M.1.1",1927,435165,"Marrow"
"A8.D042479.3_8_M.1.1",2080,237507,"Marrow"
"A8.MAA000409.3_10_M.1.1",3688,915111,"Marrow"
"A8.MAA000600.3_8_M.1.1",6000,1810864,"Marrow"
"A8.MAA000639.3_9_M.1.1",3448,745498,"Marrow"
"A8.MAA000652.3_10_M.1.1",1458,122198,"Marrow"
"A8.MAA000844.3_10_M.1.1",2056,365102,"Marrow"
"A8.MAA000848.3_10_M.1.1",2741,282065,"Marrow"
"A8.MAA001842.3_38_F.1.1",1527,722913,"Marrow"
"A8.MAA001844.3_38_F.1.1",5314,1072900,"Marrow"
"A8.MAA001883.3_39_F.1.1",1719,128448,"Marrow"
"A8.MAA001884.3_38_F.1.1",2990,1484996,"Marrow"
"A8.MAA001887.3_39_F.1.1",4405,518957,"Marrow"
"A9.D041912.3_8_M.1.1",1618,68766,"Marrow"
"A9.D042044.3_9_M.1.1",4866,1738751,"Marrow"
"A9.D042193.3_8_M.1.1",4395,1647146,"Marrow"
"A9.D042479.3_8_M.1.1",3161,359060,"Marrow"
"A9.D045140.3_38_F.1.1",2349,1725230,"Marrow"
"A9.MAA000409.3_10_M.1.1",2061,305871,"Marrow"
"A9.MAA000596.3_9_M.1.1",3988,449992,"Marrow"
"A9.MAA000600.3_8_M.1.1",3841,933699,"Marrow"
"A9.MAA000639.3_9_M.1.1",2681,657226,"Marrow"
"A9.MAA000844.3_10_M.1.1",3501,998556,"Marrow"
"A9.MAA000848.3_10_M.1.1",4987,678640,"Marrow"
"A9.MAA001844.3_38_F.1.1",4743,1007564,"Marrow"
"A9.MAA001883.3_39_F.1.1",1731,158892,"Marrow"
"A9.MAA001884.3_38_F.1.1",1570,772770,"Marrow"
"A9.MAA001887.3_39_F.1.1",4862,529358,"Marrow"
"B1.D041912.3_8_M.1.1",3875,1444068,"Marrow"
"B1.D042044.3_9_M.1.1",2111,340299,"Marrow"
"B1.D042193.3_8_M.1.1",3107,1024243,"Marrow"
"B1.D042479.3_8_M.1.1",1697,284710,"Marrow"
"B1.D045140.3_38_F.1.1",1615,1291594,"Marrow"
"B1.MAA000409.3_10_M.1.1",2547,602935,"Marrow"
"B1.MAA000600.3_8_M.1.1",3764,3594957,"Marrow"
"B1.MAA000639.3_9_M.1.1",1665,240756,"Marrow"
"B1.MAA000652.3_10_M.1.1",1571,55955,"Marrow"
"B1.MAA000844.3_10_M.1.1",1442,180805,"Marrow"
"B1.MAA000848.3_10_M.1.1",4493,731721,"Marrow"
"B1.MAA001842.3_38_F.1.1",1266,423790,"Marrow"
"B1.MAA001884.3_38_F.1.1",1517,861849,"Marrow"
"B1.MAA001887.3_39_F.1.1",5685,1069204,"Marrow"
"B1.MAA001888.3_39_F.1.1",2739,240508,"Marrow"
"B10.D041912.3_8_M.1.1",1431,145922,"Marrow"
"B10.D042044.3_9_M.1.1",2581,332378,"Marrow"
"B10.D042479.3_8_M.1.1",6540,1331244,"Marrow"
"B10.D045139.3_39_F.1.1",1008,201470,"Marrow"
"B10.D045140.3_38_F.1.1",2758,2086951,"Marrow"
"B10.MAA000596.3_9_M.1.1",6184,826956,"Marrow"
"B10.MAA000600.3_8_M.1.1",4069,970499,"Marrow"
"B10.MAA000639.3_9_M.1.1",2496,1138597,"Marrow"
"B10.MAA000652.3_10_M.1.1",1538,189634,"Marrow"
"B10.MAA000844.3_10_M.1.1",1871,354220,"Marrow"
"B10.MAA000848.3_10_M.1.1",5021,675084,"Marrow"
"B10.MAA001883.3_39_F.1.1",3937,477028,"Marrow"
"B10.MAA001884.3_38_F.1.1",1443,697015,"Marrow"
"B10.MAA001887.3_39_F.1.1",5192,744473,"Marrow"
"B11.D042044.3_9_M.1.1",1770,316433,"Marrow"
"B11.D042193.3_8_M.1.1",1575,353788,"Marrow"
"B11.D042479.3_8_M.1.1",3901,492194,"Marrow"
"B11.D045140.3_38_F.1.1",3286,2152370,"Marrow"
"B11.MAA000409.3_10_M.1.1",4549,823865,"Marrow"
"B11.MAA000596.3_9_M.1.1",6222,1150436,"Marrow"
