overlapGenesTissue1,overlapGenesTissue2,overlapGenesTissue3,overlapGenesTissue4,overlapGenesTissue5,overlapGenesTissue6,overlapGenesTissue7,overlapGenesTissue8,overlapGenesTissue9,overlapGenesTissue10,overlapGenesTissue11,overlapGenesTissue12,overlapGenesTissue13,overlapGenesTissue14,overlapGenesTissue15,overlapGenesTissue16,overlapGenesTissue17,overlapGenesTissue18,overlapGenesTissue19,overlapGenesTissue20,overlapGenesTissue21,overlapGenesTissue22,overlapGenesTissue23,overlapGenesTissue24,overlapGenesTissue25,overlapGenesTissue26,overlapGenesTissue27,overlapGenesTissue28,overlapGenesTissue29,overlapGenesTissue30,overlapGenesTissue31,overlapGenesTissue32,overlapGenesTissue33,overlapGenesTissue34,overlapGenesTissue35,overlapGenesTissue36,overlapGenesTissue37,overlapGenesTissue38,overlapGenesTissue39,overlapGenesTissue40,overlapGenesTissue41,overlapGenesTissue42,overlapGenesTissue43,overlapGenesTissue44,overlapGenesTissue45,overlapGenesTissue46,overlapGenesTissue47,overlapGenesTissue48,overlapGenesTissue49,overlapGenesTissue50,overlapGenesTissue51,overlapGenesTissue52,overlapGenesTissue53,overlapGenesTissue54
,,Sema4b,,,,,,,,,Nsg2,,,,,,,,,,,,,,,,,,Psen2,,,,,,,,,Hsd3b7,,,,,,,,,Mettl11a,,Rpl41,,,,
,,Sept6,,,,,,,,,Nt5e,,,,,,,,,,,,,,,,,,Psenen,,,,,,,,,Hsf2,,,,,,,,,Mid1,,Rps16-ps2,,,,
,,Sepw1,,,,,,,,,Nup210,,,,,,,,,,,,,,,,,,Psmb5,,,,,,,,,Ide,,,,,,,,,Mif,,Rps19-ps6,,,,
,,Serf2,,,,,,,,,Nupl1,,,,,,,,,,,,,,,,,,Psmb9,,,,,,,,,Idh1,,,,,,,,,Mir221,,Rps23-ps1,,,,
,,Serpinb1a,,,,,,,,,Nxt1,,,,,,,,,,,,,,,,,,Psmd13,,,,,,,,,Ifngr1,,,,,,,,,Mir3074-1,,Rps27,,,,
,,Sesn1,,,,,,,,,Orc2,,,,,,,,,,,,,,,,,,Pstpip1,,,,,,,,,Ift20,,,,,,,,,Mir568,,Rps27rt,,,,
,,Sh2d2a,,,,,,,,,Osbpl9,,,,,,,,,,,,,,,,,,Ptafr,,,,,,,,,Ift57,,,,,,,,,Mir682,,Rps29,,,,
,,Sh3bp5,,,,,,,,,Ostf1,,,,,,,,,,,,,,,,,,Ptplad2,,,,,,,,,Igfbp3,,,,,,,,,Mob3a,,Rps3a1,,,,
,,Sh3kbp1,,,,,,,,,Ostm1,,,,,,,,,,,,,,,,,,Ptpmt1,,,,,,,,,Igsf10,,,,,,,,,Mphosph10,,Rps6-ps4,,,,
,,Sharpin,,,,,,,,,Pag1,,,,,,,,,,,,,,,,,,Ptpre,,,,,,,,,Ikbip,,,,,,,,,Mpp7,,Rtn4,,,,
,,Shoc2,,,,,,,,,Pak2,,,,,,,,,,,,,,,,,,Ptpro,,,,,,,,,Il13ra1,,,,,,,,,Mrpl17,,Rwdd1,,,,
,,Sin3a,,,,,,,,,Papd5,,,,,,,,,,,,,,,,,,Pyhin1,,,,,,,,,Il15ra,,,,,,,,,Mrpl48,,Scn1b,,,,
,,Sipa1,,,,,,,,,Parvg,,,,,,,,,,,,,,,,,,Rab11a,,,,,,,,,Il17rc,,,,,,,,,Mrpl50,,Sdhaf4,,,,
,,Sipa1l1,,,,,,,,,Pddc1,,,,,,,,,,,,,,,,,,Rab11fip1,,,,,,,,,Il1rl2,,,,,,,,,Mrpl54,,Sdhc,,,,
,,Sirt7,,,,,,,,,Pde2a,,,,,,,,,,,,,,,,,,Rab11fip5,,,,,,,,,Il3ra,,,,,,,,,Mrps18b,,Sdpr,,,,
,,Sla,,,,,,,,,Pde3b,,,,,,,,,,,,,,,,,,Rab43,,,,,,,,,Il6ra,,,,,,,,,Mrps7,,Selenow,,,,
,,Slc12a6,,,,,,,,,Pde7a,,,,,,,,,,,,,,,,,,Rab5c,,,,,,,,,Impad1,,,,,,,,,Msc,,Serping1,,,,
,,Slc25a46,,,,,,,,,Pdk1,,,,,,,,,,,,,,,,,,Rab8a,,,,,,,,,Iqsec1,,,,,,,,,Msi2,,Serpinh1,,,,
,,Slc38a1,,,,,,,,,Pfkl,,,,,,,,,,,,,,,,,,Rac1,,,,,,,,,Irf1,,,,,,,,,Mtap2,,Sh3bgr,,,,
,,Snap23,,,,,,,,,Pgls,,,,,,,,,,,,,,,,,,Rala,,,,,,,,,Isoc1,,,,,,,,,Mtap7d1,,Slc25a11,,,,
,,Snap29,,,,,,,,,Pgm2l1,,,,,,,,,,,,,,,,,,Rap1a,,,,,,,,,Itch,,,,,,,,,Mtdh,,Slc25a12,,,,
,,Snhg6,,,,,,,,,Phf17,,,,,,,,,,,,,,,,,,Rap2a,,,,,,,,,Itfg1,,,,,,,,,Mtmr1,,Sln,,,,
,,Snx20,,,,,,,,,Phf6,,,,,,,,,,,,,,,,,,Rasgrp4,,,,,,,,,Itfg3,,,,,,,,,Musk,,Smim10l1,,,,
,,Snx30,,,,,,,,,Pik3c2a,,,,,,,,,,,,,,,,,,Rassf2,,,,,,,,,Itga9,,,,,,,,,Mvp,,Smim19,,,,
,,Snx8,,,,,,,,,Pik3cd,,,,,,,,,,,,,,,,,,Rbfa,,,,,,,,,Itgb1bp1,,,,,,,,,Mybbp1a,,Smim20,,,,
,,Snx9,,,,,,,,,Pik3ip1,,,,,,,,,,,,,,,,,,Rchy1,,,,,,,,,Itgbl1,,,,,,,,,Myef2,,Smpx,,,,
,,Son,,,,,,,,,Pik3r1,,,,,,,,,,,,,,,,,,Rell1,,,,,,,,,Itm2c,,,,,,,,,N4bp2l2,,Smyd1,,,,
,,Sorl1,,,,,,,,,Pim2,,,,,,,,,,,,,,,,,,Renbp,,,,,,,,,Itsn1,,,,,,,,,Naa15,,Smyd2,,,,
,,Sp100,,,,,,,,,Pisd-ps3,,,,,,,,,,,,,,,,,,Rffl,,,,,,,,,Jdp2,,,,,,,,,Naa25,,Snap47,,,,
,,Spint2,,,,,,,,,Pitpnc1,,,,,,,,,,,,,,,,,,Rhbdf2,,,,,,,,,Jmjd8,,,,,,,,,Napa,,Snapin,,,,
,,St6gal1,,,,,,,,,Pitpnm1,,,,,,,,,,,,,,,,,,Rin3,,,,,,,,,Jun,,,,,,,,,Nav2,,Snrpn,,,,
,,St8sia4,,,,,,,,,Pja1,,,,,,,,,,,,,,,,,,Rnaseh2c,,,,,,,,,Kank2,,,,,,,,,Ncald,,Snta1,,,,
,,Stap1,,,,,,,,,Pld3,,,,,,,,,,,,,,,,,,Rnasek,,,,,,,,,Kazald1,,,,,,,,,Ncbp2,,Socs3,,,,
,,Stat4,,,,,,,,,Plekha2,,,,,,,,,,,,,,,,,,Rnasel,,,,,,,,,Kctd11,,,,,,,,,Ncoa1,,Son,,,,
,,Stat6,,,,,,,,,Plekhm1,,,,,,,,,,,,,,,,,,Rnf141,,,,,,,,,Kctd9,,,,,,,,,Ndrg1,,Sord,,,,
,,Stk10,,,,,,,,,Pnrc1,,,,,,,,,,,,,,,,,,Rnf5,,,,,,,,,Kdelc2,,,,,,,,,Ndufc2,,Sparc,,,,
,,Stk4,,,,,,,,,Polg2,,,,,,,,,,,,,,,,,,Rp2h,,,,,,,,,Kif13b,,,,,,,,,Ndufv1,,Ss18l2,,,,
,,Strbp,,,,,,,,,Polr2d,,,,,,,,,,,,,,,,,,Rpp21,,,,,,,,,Kif1c,,,,,,,,,Nedd4,,Stau2,,,,
,,Sun2,,,,,,,,,Polr2g,,,,,,,,,,,,,,,,,,S100a1,,,,,,,,,Kif21a,,,,,,,,,Nek6,,Sucla2,,,,
,,Susd3,,,,,,,,,Polr2j,,,,,,,,,,,,,,,,,,S100a11,,,,,,,,,Kif2a,,,,,,,,,Nelf,,Suclg1,,,,
,,Swap70,,,,,,,,,Polr3k,,,,,,,,,,,,,,,,,,S100a13,,,,,,,,,Klf2,,,,,,,,,Nfat5,,Synpo2,,,,
,,Syf2,,,,,,,,,Ppm1h,,,,,,,,,,,,,,,,,,Sarnp,,,,,,,,,Klf4,,,,,,,,,Nfatc2,,Tbx1,,,,
,,Syvn1,,,,,,,,,Ppm1k,,,,,,,,,,,,,,,,,,Sdhb,,,,,,,,,Klhl21,,,,,,,,,Nfib,,Tcap,,,,
,,Tacc1,,,,,,,,,Ppp1cc,,,,,,,,,,,,,,,,,,Selenbp1,,,,,,,,,Kpnb1,,,,,,,,,Nfkbie,,Tcea3,,,,
,,Taf10,,,,,,,,,Ppp1r12a,,,,,,,,,,,,,,,,,,Serpinb8,,,,,,,,,Lage3,,,,,,,,,Nfyb,,Tcf4,,,,
,,Taldo1,,,,,,,,,Ppp1r13b,,,,,,,,,,,,,,,,,,Setd8,,,,,,,,,Lamc2,,,,,,,,,Nipbl,,Timm21,,,,
,,Taok3,,,,,,,,,Ppp1r16b,,,,,,,,,,,,,,,,,,Sft2d2,,,,,,,,,Lamp1,,,,,,,,,Nmd3,,Timm8b,,,,
,,Tapt1,,,,,,,,,Ppp2r5a,,,,,,,,,,,,,,,,,,Sfxn3,,,,,,,,,Larp6,,,,,,,,,Nme1,,Tmem109,,,,
,,Tbc1d10c,,,,,,,,,Ppp2r5c,,,,,,,,,,,,,,,,,,Sh3bp2,,,,,,,,,Lasp1,,,,,,,,,Nnmt,,Tmem160,,,,
,,Tecpr1,,,,,,,,,Ppp6r1,,,,,,,,,,,,,,,,,,Sh3bp5,,,,,,,,,Lass5,,,,,,,,,Nob1,,Tmem176b,,,,
,,Tgfbr2,,,,,,,,,Pqbp1,,,,,,,,,,,,,,,,,,Sh3glb1,,,,,,,,,Lemd2,,,,,,,,,Noc3l,,Tmem242,,,,
,,Tlk1,,,,,,,,,Prelid1,,,,,,,,,,,,,,,,,,Sh3kbp1,,,,,,,,,Lepre1,,,,,,,,,Noc4l,,Tmem256,,,,
,,Tmed5,,,,,,,,,Prkcb,,,,,,,,,,,,,,,,,,Sharpin,,,,,,,,,Leprel4,,,,,,,,,Nol10,,Tmem38a,,,,
,,Tmem179b,,,,,,,,,Prkch,,,,,,,,,,,,,,,,,,Siglech,,,,,,,,,Leprot,,,,,,,,,Nol9,,Tmem52,,,,
,,Tmem189,,,,,,,,,Prkd3,,,,,,,,,,,,,,,,,,Sin3b,,,,,,,,,Lgals3bp,,,,,,,,,Nop14,,Tmem70,,,,
,,Tmem55b,,,,,,,,,Prr7,,,,,,,,,,,,,,,,,,Sirt7,,,,,,,,,Lgals9,,,,,,,,,Nop16,,Tmod4,,,,
,,Tmod3,,,,,,,,,Psd4,,,,,,,,,,,,,,,,,,Slamf7,,,,,,,,,Lgi2,,,,,,,,,Nop2,,Tnnc1,,,,
,,Tnrc6c,,,,,,,,,Psen2,,,,,,,,,,,,,,,,,,Slc11a2,,,,,,,,,Lgi4,,,,,,,,,Nop56,,Tnnc2,,,,
,,Tor1a,,,,,,,,,Psenen,,,,,,,,,,,,,,,,,,Slc16a3,,,,,,,,,Lias,,,,,,,,,Notch2,,Tnni1,,,,
,,Tpt1,,,,,,,,,Psmd5,,,,,,,,,,,,,,,,,,Slc24a6,,,,,,,,,Lifr,,,,,,,,,Nr1d1,,Tnni2,,,,
,,Traf1,,,,,,,,,Psmf1,,,,,,,,,,,,,,,,,,Slc25a20,,,,,,,,,Lima1,,,,,,,,,Nr4a3,,Tnnt1,,,,
,,Trappc1,,,,,,,,,Ptbp1,,,,,,,,,,,,,,,,,,Slc29a3,,,,,,,,,Limch1,,,,,,,,,Nsun2,,Tnnt3,,,,
,,Treml2,,,,,,,,,Ptk2b,,,,,,,,,,,,,,,,,,Slc2a6,,,,,,,,,Lipa,,,,,,,,,Ntn5,,Toporsos,,,,
,,Trim11,,,,,,,,,Ptp4a2,,,,,,,,,,,,,,,,,,Slc31a2,,,,,,,,,Lman1,,,,,,,,,Nucks1,,Tpi1,,,,
,,Trim26,,,,,,,,,Ptpn6,,,,,,,,,,,,,,,,,,Slc35c2,,,,,,,,,Lmf2,,,,,,,,,Nudc,,Tpm1,,,,
,,Trim30a,,,,,,,,,Pts,,,,,,,,,,,,,,,,,,Slc38a1,,,,,,,,,Lnp,,,,,,,,,Nudt21,,Tpm2,,,,
,,Trim33,,,,,,,,,Pydc3,,,,,,,,,,,,,,,,,,Slc38a7,,,,,,,,,Lox,,,,,,,,,Nup62,,Tpm3,,,,
,,Trim7,,,,,,,,,Pydc4,,,,,,,,,,,,,,,,,,Slc38a9,,,,,,,,,Loxl3,,,,,,,,,Nup98,,Tpm3-rs7,,,,
,,Twf2,,,,,,,,,Pyhin1,,,,,,,,,,,,,,,,,,Slc48a1,,,,,,,,,Lpl,,,,,,,,,Nxf1,,Tpt1-ps3,,,,
,,Txndc16,,,,,,,,,Rab21,,,,,,,,,,,,,,,,,,Slc6a6,,,,,,,,,Lrpap1,,,,,,,,,Oat,,Trdn,,,,
,,Txnip,,,,,,,,,Rab24,,,,,,,,,,,,,,,,,,Slc9a9,,,,,,,,,Lrrc17,,,,,,,,,Oaz1,,Trim7,,,,
,,Tyrobp,,,,,,,,,Rab27a,,,,,,,,,,,,,,,,,,Slfn8,,,,,,,,,Lrrc61,,,,,,,,,Oaz2,,Tsn,,,,
,,Ube2b,,,,,,,,,Rab3ip,,,,,,,,,,,,,,,,,,Smap2,,,,,,,,,Lsamp,,,,,,,,,Odz4,,Tuba1a,,,,
,,Ube2q1,,,,,,,,,Rab43,,,,,,,,,,,,,,,,,,Smcr8,,,,,,,,,Ltbr,,,,,,,,,Ogt,,Tuba4a,,,,
,,Upf3b,,,,,,,,,Rabif,,,,,,,,,,,,,,,,,,Smox,,,,,,,,,Lynx1,,,,,,,,,Olfml2a,,Tuba8,,,,
,,Vamp8,,,,,,,,,Rasa2,,,,,,,,,,,,,,,,,,Smpdl3b,,,,,,,,,Lztfl1,,,,,,,,,Olfml2b,,Twf2,,,,
,,Vps72,,,,,,,,,Rasal3,,,,,,,,,,,,,,,,,,Snf8,,,,,,,,,Lztr1,,,,,,,,,Opa3,,Txn2,,,,
,,Vrk1,,,,,,,,,Rasgrp1,,,,,,,,,,,,,,,,,,Sp100,,,,,,,,,Maf,,,,,,,,,Osgin1,,Ube2d1,,,,
,,Wdfy4,,,,,,,,,Rasl11b,,,,,,,,,,,,,,,,,,Sp140,,,,,,,,,Mafb,,,,,,,,,Osmr,,Uchl3,,,,
,,Xpo1,,,,,,,,,Rassf2,,,,,,,,,,,,,,,,,,Spsb2,,,,,,,,,Maged1,,,,,,,,,Paics,,Ugp2,,,,
,,Xrn2,,,,,,,,,Rbck1,,,,,,,,,,,,,,,,,,Sri,,,,,,,,,Mageh1,,,,,,,,,Paip2,,Uqcc2,,,,
,,Xylt1,,,,,,,,,Rbfa,,,,,,,,,,,,,,,,,,Srsf9,,,,,,,,,Magi3,,,,,,,,,Pak1ip1,,Uqcr10,,,,
,,Zc3h18,,,,,,,,,Rbl2,,,,,,,,,,,,,,,,,,Ssbp4,,,,,,,,,Magt1,,,,,,,,,Palld,,Uqcrb,,,,
,,Zcchc11,,,,,,,,,Rbm34,,,,,,,,,,,,,,,,,,Ssu72,,,,,,,,,Man1c1,,,,,,,,,Palmd,,Uqcrq,,,,
,,Zdhhc18,,,,,,,,,Rbm38,,,,,,,,,,,,,,,,,,St13,,,,,,,,,Man2a1,,,,,,,,,Pcbp1,,Usp13,,,,
,,Zfp1,,,,,,,,,Rbm4,,,,,,,,,,,,,,,,,,St3gal1,,,,,,,,,Man2b2,,,,,,,,,Pcnp,,Vamp5,,,,
,,Zfp106,,,,,,,,,Rbm42,,,,,,,,,,,,,,,,,,St3gal4,,,,,,,,,Maob,,,,,,,,,Pdcd11,,Vapb,,,,
,,Zfp263,,,,,,,,,Rcc2,,,,,,,,,,,,,,,,,,St3gal6,,,,,,,,,Map3k8,,,,,,,,,Pde10a,,Vdac1,,,,
,,Zfp318,,,,,,,,,Rcsd1,,,,,,,,,,,,,,,,,,St8sia4,,,,,,,,,Mapk6,,,,,,,,,Pde1c,,Vdac3,,,,
,,Zmiz2,,,,,,,,,Rel,,,,,,,,,,,,,,,,,,Stam2,,,,,,,,,Mapk9,,,,,,,,,Pde4d,,Vegfb,,,,
,,Zmynd8,,,,,,,,,Rhof,,,,,,,,,,,,,,,,,,Stap1,,,,,,,,,March2,,,,,,,,,Pde7b,,Vim,,,,
,,Zufsp,,,,,,,,,Rhog,,,,,,,,,,,,,,,,,,Stk10,,,,,,,,,Marveld1,,,,,,,,,Pdgfrl,,Vti1b,,,,
,,,,,,,,,,,Rilpl2,,,,,,,,,,,,,,,,,,Stom,,,,,,,,,Matn2,,,,,,,,,Pdia6,,Wdyhv1,,,,
,,,,,,,,,,,Rin3,,,,,,,,,,,,,,,,,,Stra13,,,,,,,,,Maz,,,,,,,,,Pdk4,,Ybx1,,,,
,,,,,,,,,,,Rinl,,,,,,,,,,,,,,,,,,Stub1,,,,,,,,,Mbtps1,,,,,,,,,Pdp1,,Ybx3,,,,
,,,,,,,,,,,Riok1,,,,,,,,,,,,,,,,,,Stx3,,,,,,,,,Mcee,,,,,,,,,Peg3,,Yipf7,,,,
,,,,,,,,,,,Rmnd5a,,,,,,,,,,,,,,,,,,Stxbp2,,,,,,,,,Mcfd2,,,,,,,,,Pes1,,Zcrb1,,,,
,,,,,,,,,,,Rnaseh2c,,,,,,,,,,,,,,,,,,Stxbp3a,,,,,,,,,Meox2,,,,,,,,,Pex19,,Zfas1,,,,
,,,,,,,,,,,Rnf114,,,,,,,,,,,,,,,,,,Stxbp6,,,,,,,,,Mesdc1,,,,,,,,,Pex5,,Zfp358,,,,
,,,,,,,,,,,Rnf125,,,,,,,,,,,,,,,,,,Sulf2,,,,,,,,,Mesdc2,,,,,,,,,Pgam5,,Zfp36,,,,
,,,,,,,,,,,Rnf145,,,,,,,,,,,,,,,,,,Supt4h1,,,,,,,,,Mfsd10,,,,,,,,,Pgm5,,Zfp36l1,,,,
,,,,,,,,,,,Rnf181,,,,,,,,,,,,,,,,,,Swap70,,,,,,,,,Mgst3,,,,,,,,,Phf5a,,Zfp777,,,,
,,,,,,,,,,,Rnf187,,,,,,,,,,,,,,,,,,Tab2,,,,,,,,,Mia3,,,,,,,,,Pias2,,Znrd1as,,,,
,,,,,,,,,,,Rnf20,,,,,,,,,,,,,,,,,,Taf10,,,,,,,,,Mitf,,,,,,,,,Pion,,mt-Co1,,,,
,,,,,,,,,,,Rnf38,,,,,,,,,,,,,,,,,,Tagap,,,,,,,,,Mlec,,,,,,,,,Pip5k1a,,mt-Cytb,,,,
,,,,,,,,,,,Rnf5,,,,,,,,,,,,,,,,,,Tbca,,,,,,,,,Mme,,,,,,,,,Pitpnb,,mt-Nd1,,,,
,,,,,,,,,,,Rnf8,,,,,,,,,,,,,,,,,,Tbcc,,,,,,,,,Mmp19,,,,,,,,,Pitrm1,,mt-Nd2,,,,
,,,,,,,,,,,Rp9,,,,,,,,,,,,,,,,,,Tcn2,,,,,,,,,Mmp23,,,,,,,,,Plekha3,,mt-Nd4,,,,
,,,,,,,,,,,Rpa1,,,,,,,,,,,,,,,,,,Tes,,,,,,,,,Mmp3,,,,,,,,,Plekhb1,,mt-Nd5,,,,
,,,,,,,,,,,Rpp21,,,,,,,,,,,,,,,,,,Tet3,,,,,,,,,Mn1,,,,,,,,,Plk2,,,,,,
,,,,,,,,,,,Rps6ka1,,,,,,,,,,,,,,,,,,Timd4,,,,,,,,,Mndal,,,,,,,,,Plrg1,,,,,,
,,,,,,,,,,,Rqcd1,,,,,,,,,,,,,,,,,,Tle4,,,,,,,,,Mospd1,,,,,,,,,Poldip3,,,,,,
,,,,,,,,,,,Rrad,,,,,,,,,,,,,,,,,,Tmbim4,,,,,,,,,Mpdz,,,,,,,,,Polr1c,,,,,,
,,,,,,,,,,,Rwdd1,,,,,,,,,,,,,,,,,,Tmem120a,,,,,,,,,Mpv17,,,,,,,,,Polr2l,,,,,,
,,,,,,,,,,,S1pr1,,,,,,,,,,,,,,,,,,Tmem134,,,,,,,,,Mpv17l2,,,,,,,,,Polr3d,,,,,,
,,,,,,,,,,,Sars,,,,,,,,,,,,,,,,,,Tmem14c,,,,,,,,,Mrgprf,,,,,,,,,Ppid,,,,,,
,,,,,,,,,,,Sart1,,,,,,,,,,,,,,,,,,Tmem179b,,,,,,,,,Mrpl13,,,,,,,,,Ppig,,,,,,
,,,,,,,,,,,Scml4,,,,,,,,,,,,,,,,,,Tmem189,,,,,,,,,Mrps36,,,,,,,,,Ppme1,,,,,,
,,,,,,,,,,,Sdf4,,,,,,,,,,,,,,,,,,Tmem208,,,,,,,,,Msl3,,,,,,,,,Ppp1cb,,,,,,
,,,,,,,,,,,Sdha,,,,,,,,,,,,,,,,,,Tmem219,,,,,,,,,Msx1,,,,,,,,,Ppp2r1a,,,,,,
,,,,,,,,,,,Sema4a,,,,,,,,,,,,,,,,,,Tmem39b,,,,,,,,,Mtap1a,,,,,,,,,Ppp2r2a,,,,,,
,,,,,,,,,,,Sema4b,,,,,,,,,,,,,,,,,,Tmem50b,,,,,,,,,Mterfd2,,,,,,,,,Ppp2r3a,,,,,,
,,,,,,,,,,,Sema4d,,,,,,,,,,,,,,,,,,Tnfsf12,,,,,,,,,Mxd4,,,,,,,,,Ppp4c,,,,,,
,,,,,,,,,,,Sephs2,,,,,,,,,,,,,,,,,,Tnip2,,,,,,,,,Myd88,,,,,,,,,Pqlc1,,,,,,
,,,,,,,,,,,Sepw1,,,,,,,,,,,,,,,,,,Tpi1,,,,,,,,,Myh10,,,,,,,,,Prkx,,,,,,
,,,,,,,,,,,Serf2,,,,,,,,,,,,,,,,,,Tpst2,,,,,,,,,Myl9,,,,,,,,,Prmt1,,,,,,
,,,,,,,,,,,Serpinb9,,,,,,,,,,,,,,,,,,Trappc6a,,,,,,,,,Myo9b,,,,,,,,,Prosc,,,,,,
,,,,,,,,,,,Sesn1,,,,,,,,,,,,,,,,,,Trem2,,,,,,,,,Myof,,,,,,,,,Prpf38b,,,,,,
,,,,,,,,,,,Sesn3,,,,,,,,,,,,,,,,,,Trex1,,,,,,,,,Naalad2,,,,,,,,,Prpf39,,,,,,
,,,,,,,,,,,Sf3a3,,,,,,,,,,,,,,,,,,Trim12c,,,,,,,,,Naga,,,,,,,,,Prpf6,,,,,,
,,,,,,,,,,,Sfxn3,,,,,,,,,,,,,,,,,,Trim30a,,,,,,,,,Naglu,,,,,,,,,Prrc2a,,,,,,
,,,,,,,,,,,Sh3bp1,,,,,,,,,,,,,,,,,,Trim30d,,,,,,,,,Nckap1,,,,,,,,,Prrc2c,,,,,,
,,,,,,,,,,,Sidt1,,,,,,,,,,,,,,,,,,Trpv2,,,,,,,,,Ncln,,,,,,,,,Psd,,,,,,
,,,,,,,,,,,Sipa1l1,,,,,,,,,,,,,,,,,,Tsix,,,,,,,,,Ndfip1,,,,,,,,,Psma3,,,,,,
,,,,,,,,,,,Sirt7,,,,,,,,,,,,,,,,,,Tspan17,,,,,,,,,Ndrg3,,,,,,,,,Psma6,,,,,,
,,,,,,,,,,,Sla,,,,,,,,,,,,,,,,,,Ttc7,,,,,,,,,Ndrg4,,,,,,,,,Psmb4,,,,,,
,,,,,,,,,,,Sla2,,,,,,,,,,,,,,,,,,Tubb5,,,,,,,,,Ndufa4l2,,,,,,,,,Psmb6,,,,,,
,,,,,,,,,,,Slain1,,,,,,,,,,,,,,,,,,Twf2,,,,,,,,,Ndufv3,,,,,,,,,Psmb7,,,,,,
,,,,,,,,,,,Slamf6,,,,,,,,,,,,,,,,,,Txndc17,,,,,,,,,Nek7,,,,,,,,,Psmc6,,,,,,
,,,,,,,,,,,Slc28a2,,,,,,,,,,,,,,,,,,Uap1l1,,,,,,,,,Nhsl1,,,,,,,,,Psmd12,,,,,,
,,,,,,,,,,,Slc38a1,,,,,,,,,,,,,,,,,,Ubash3b,,,,,,,,,Nin,,,,,,,,,Psmd4,,,,,,
,,,,,,,,,,,Slc44a2,,,,,,,,,,,,,,,,,,Ube2e3,,,,,,,,,Nisch,,,,,,,,,Psmd7,,,,,,
,,,,,,,,,,,Slfn2,,,,,,,,,,,,,,,,,,Ube2q2,,,,,,,,,Nox4,,,,,,,,,Psmd8,,,,,,
,,,,,,,,,,,Slu7,,,,,,,,,,,,,,,,,,Ubtd1,,,,,,,,,Npdc1,,,,,,,,,Psmg4,,,,,,
,,,,,,,,,,,Smad7,,,,,,,,,,,,,,,,,,Ubxn1,,,,,,,,,Nptn,,,,,,,,,Pspc1,,,,,,
,,,,,,,,,,,Smek2,,,,,,,,,,,,,,,,,,Ugt1a7c,,,,,,,,,Nqo2,,,,,,,,,Ptbp1,,,,,,
,,,,,,,,,,,Smn1,,,,,,,,,,,,,,,,,,Usmg5,,,,,,,,,Nr3c1,,,,,,,,,Ptbp2,,,,,,
,,,,,,,,,,,Smpdl3a,,,,,,,,,,,,,,,,,,Usp38,,,,,,,,,Nrip1,,,,,,,,,Ptges3,,,,,,
,,,,,,,,,,,Sms,,,,,,,,,,,,,,,,,,Vamp3,,,,,,,,,Nsmaf,,,,,,,,,Ptp4a1,,,,,,
,,,,,,,,,,,Snapc1,,,,,,,,,,,,,,,,,,Vapb,,,,,,,,,Ntan1,,,,,,,,,Ptplad1,,,,,,
,,,,,,,,,,,Snhg3,,,,,,,,,,,,,,,,,,Vasp,,,,,,,,,Nucb1,,,,,,,,,Ptpn11,,,,,,
,,,,,,,,,,,Snord104,,,,,,,,,,,,,,,,,,Vav1,,,,,,,,,Nucb2,,,,,,,,,Ptpn12,,,,,,
,,,,,,,,,,,Snx20,,,,,,,,,,,,,,,,,,Vav3,,,,,,,,,Nudcd3,,,,,,,,,Ptprd,,,,,,
,,,,,,,,,,,Socs1,,,,,,,,,,,,,,,,,,Vdac3,,,,,,,,,Nup210l,,,,,,,,,Ptprf,,,,,,
,,,,,,,,,,,Sp100,,,,,,,,,,,,,,,,,,Vps26a,,,,,,,,,Olfm1,,,,,,,,,Pum1,,,,,,
,,,,,,,,,,,Sp110,,,,,,,,,,,,,,,,,,Vps29,,,,,,,,,Olfml1,,,,,,,,,Purb,,,,,,
,,,,,,,,,,,Spata13,,,,,,,,,,,,,,,,,,Vps4b,,,,,,,,,Olfml3,,,,,,,,,Pvr,,,,,,
,,,,,,,,,,,Sri,,,,,,,,,,,,,,,,,,Was,,,,,,,,,Os9,,,,,,,,,Pvrl3,,,,,,
,,,,,,,,,,,Srp14,,,,,,,,,,,,,,,,,,Wasf2,,,,,,,,,Osbpl1a,,,,,,,,,Qrich1,,,,,,
,,,,,,,,,,,Ssbp3,,,,,,,,,,,,,,,,,,Wbp2,,,,,,,,,Osr1,,,,,,,,,Qtrtd1,,,,,,
,,,,,,,,,,,Ssh2,,,,,,,,,,,,,,,,,,Wdfy4,,,,,,,,,P2rx4,,,,,,,,,Rab11b,,,,,,
,,,,,,,,,,,Ssna1,,,,,,,,,,,,,,,,,,Wdr91,,,,,,,,,P4ha1,,,,,,,,,Rab3gap1,,,,,,
,,,,,,,,,,,Stat1,,,,,,,,,,,,,,,,,,Wwp1,,,,,,,,,P4ha2,,,,,,,,,Rab5a,,,,,,
,,,,,,,,,,,Stat4,,,,,,,,,,,,,,,,,,Ywhah,,,,,,,,,Pacsin2,,,,,,,,,Rai12,,,,,,
,,,,,,,,,,,Stat5b,,,,,,,,,,,,,,,,,,Zbp1,,,,,,,,,Pamr1,,,,,,,,,Ranbp1,,,,,,
,,,,,,,,,,,Stat6,,,,,,,,,,,,,,,,,,Zbtb17,,,,,,,,,Papss1,,,,,,,,,Rap2b,,,,,,
,,,,,,,,,,,Stim1,,,,,,,,,,,,,,,,,,Zdhhc9,,,,,,,,,Papss2,,,,,,,,,Rars,,,,,,
