"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Atp5g21",6.13681992039493e-17,0.336936045935008,0.694,0.633,1.43239513761938e-12,"3","Atp5g2"
"Myo1e",1.63232363606781e-16,0.438163279094565,0.26,0.134,3.81000659894587e-12,"3","Myo1e"
"Psmb11",2.28781177276989e-16,0.379799477573719,0.653,0.616,5.3399814588222e-12,"3","Psmb1"
"Erp291",2.62019305571321e-16,0.454249272484889,0.462,0.353,6.1157926113402e-12,"3","Erp29"
"Eif3i2",2.7389395631011e-16,0.430522119025745,0.527,0.443,6.39295883423427e-12,"3","Eif3i"
"Stk241",3.18055717351433e-16,0.439106144840031,0.319,0.192,7.4237384986998e-12,"3","Stk24"
"Cmtm71",4.03956523165088e-16,0.462583426876494,0.312,0.188,9.42874920719631e-12,"3","Cmtm7"
"Psma1",6.30689891675216e-16,0.442883080001137,0.458,0.347,1.47209327615912e-11,"3","Psma1"
"Cd97",1.55968285139661e-15,0.490279358480265,0.319,0.184,3.64045574344484e-11,"3","Cd97"
"Rab8a",1.06646120305169e-14,0.455307518623869,0.293,0.175,2.48922709404295e-10,"3","Rab8a"
"Pgls1",1.08507343714515e-14,0.465391278378154,0.427,0.327,2.53266990964048e-10,"3","Pgls"
"Dazap21",1.1938427623859e-14,0.39590317401305,0.529,0.43,2.78654839168492e-10,"3","Dazap2"
"Polr1d1",1.76395774060609e-14,0.337753556770451,0.636,0.576,4.11725376234868e-10,"3","Polr1d"
"Rgs21",2.02998904185906e-14,0.329080337365498,0.308,0.173,4.73819742260323e-10,"3","Rgs2"
"Emd2",2.17889047912996e-14,0.333421992306297,0.395,0.272,5.08574826733724e-10,"3","Emd"
"Gimap41",2.45528881320982e-14,0.267282171924242,0.265,0.131,5.73088961891305e-10,"3","Gimap4"
"Pten",2.75019766295029e-14,0.440542182120165,0.375,0.265,6.41923636509228e-10,"3","Pten"
"Gps2",1.11076091530411e-13,0.422834315719026,0.275,0.164,2.59262705241133e-09,"3","Gps2"
"Eif3m1",1.13164895094726e-13,0.380577771780207,0.512,0.427,2.64138181640601e-09,"3","Eif3m"
"Sys1",1.71920370306525e-13,0.452676985485723,0.367,0.257,4.0127933633246e-09,"3","Sys1"
"Kras1",1.74485874702391e-13,0.380583635039748,0.434,0.32,4.07267480142852e-09,"3","Kras"
"1110005A03Rik1",2.27608744766902e-13,0.394139852266334,0.304,0.192,5.31261571160426e-09,"3","1110005A03Rik"
"Ifi301",3.0366926027751e-13,0.399064698177143,0.295,0.178,7.08794420413735e-09,"3","Ifi30"
"Zfp706",3.42255223735985e-13,0.405393493883376,0.521,0.453,7.98857917722162e-09,"3","Zfp706"
"Gpbp11",4.52800221408297e-13,0.387781231927554,0.421,0.316,1.05688099678911e-08,"3","Gpbp1"
"Irf2",1.93003496237649e-12,0.408008404743515,0.332,0.22,4.50489460568297e-08,"3","Irf2"
"Nsa22",2.0612156187356e-12,0.375644116009444,0.486,0.404,4.81108337569076e-08,"3","Nsa2"
"Samhd11",2.46214925461982e-12,0.377371461331685,0.334,0.217,5.74690257520813e-08,"3","Samhd1"
"Anp32b1",2.47834203180642e-12,0.342513152882467,0.529,0.454,5.78469813643937e-08,"3","Anp32b"
"Rnf145",2.88419826115953e-12,0.397564564591606,0.256,0.154,6.73200716137247e-08,"3","Rnf145"
"Timm13",3.39414923640055e-12,0.39156276048318,0.44,0.354,7.92228373268253e-08,"3","Timm13"
"Fam32a",3.53269192104819e-12,0.38460664735661,0.321,0.217,8.24565621291857e-08,"3","Fam32a"
