overlapGenesTissue1,overlapGenesTissue2,overlapGenesTissue3,overlapGenesTissue4,overlapGenesTissue5,overlapGenesTissue6,overlapGenesTissue7,overlapGenesTissue8,overlapGenesTissue9,overlapGenesTissue10,overlapGenesTissue11,overlapGenesTissue12,overlapGenesTissue13,overlapGenesTissue14,overlapGenesTissue15,overlapGenesTissue16,overlapGenesTissue17,overlapGenesTissue18
,,Tsn,,,,,,,,,G6pc3,,,,,,
,,Tspan11,,,,,,,,,Gabarapl2,,,,,,
,,Tspyl2,,,,,,,,,Gabpb1,,,,,,
,,Tssc4,,,,,,,,,Gadd45gip1,,,,,,
,,Ttbk2,,,,,,,,,Gak,,,,,,
,,Ttc8,,,,,,,,,Gale,,,,,,
,,Ttll1,,,,,,,,,Galnt2,,,,,,
,,Ttyh2,,,,,,,,,Galnt3,,,,,,
,,Tubb4a,,,,,,,,,Galnt4,,,,,,
,,Twf2,,,,,,,,,Galnt7,,,,,,
,,Twist1,,,,,,,,,Galntl4,,,,,,
,,Txlna,,,,,,,,,Gapdh,,,,,,
,,Txndc11,,,,,,,,,Gar1,,,,,,
,,Txndc16,,,,,,,,,Gars,,,,,,
,,Uaca,,,,,,,,,Gart,,,,,,
,,Uba5,,,,,,,,,Gas2l1,,,,,,
,,Ubac1,,,,,,,,,Gatad2a,,,,,,
,,Ublcp1,,,,,,,,,Gbe1,,,,,,
,,Ubn1,,,,,,,,,Gcfc1,,,,,,
,,Ubr1,,,,,,,,,Gde1,,,,,,
,,Ubtd2,,,,,,,,,Gdi1,,,,,,
,,Uggt1,,,,,,,,,Gdpd1,,,,,,
,,Ulk2,,,,,,,,,Gdpd5,,,,,,
,,Unc5c,,,,,,,,,Get4,,,,,,
,,Usp1,,,,,,,,,Gfer,,,,,,
,,Utrn,,,,,,,,,Gfm1,,,,,,
,,Uvrag,,,,,,,,,Gfm2,,,,,,
,,Vamp4,,,,,,,,,Gfpt1,,,,,,
,,Vgll4,,,,,,,,,Gfra1,,,,,,
,,Vma21,,,,,,,,,Gga2,,,,,,
,,Vps13c,,,,,,,,,Ggct,,,,,,
,,Wash,,,,,,,,,Ghitm,,,,,,
,,Wdsub1,,,,,,,,,Gipc1,,,,,,
,,Wfs1,,,,,,,,,Gipc2,,,,,,
,,Wipf1,,,,,,,,,Git2,,,,,,
,,Wisp1,,,,,,,,,Gldc,,,,,,
,,Wnk1,,,,,,,,,Glod4,,,,,,
,,Wnt11,,,,,,,,,Glrx3,,,,,,
,,Wnt2b,,,,,,,,,Glrx5,,,,,,
,,Wrn,,,,,,,,,Glt28d2,,,,,,
,,Wtip,,,,,,,,,Glyr1,,,,,,
,,Wwc2,,,,,,,,,Gm10548,,,,,,
,,Xaf1,,,,,,,,,Gm11974,,,,,,
,,Xpa,,,,,,,,,Gm12191,,,,,,
,,Xpo1,,,,,,,,,Gm12942,,,,,,
,,Xrn1,,,,,,,,,Gm15417,,,,,,
,,Xylt1,,,,,,,,,Gm17066,,,,,,
,,Xylt2,,,,,,,,,Gm3776,,,,,,
,,Zadh2,,,,,,,,,Gm5148,,,,,,
,,Zbed3,,,,,,,,,Gm5506,,,,,,
,,Zbed6,,,,,,,,,Gm5617,,,,,,
,,Zbtb1,,,,,,,,,Gm5801,,,,,,
,,Zbtb10,,,,,,,,,Gm5918,,,,,,
,,Zbtb4,,,,,,,,,Gm608,,,,,,
,,Zbtb41,,,,,,,,,Gm6251,,,,,,
,,Zbtb7c,,,,,,,,,Gm6402,,,,,,
,,Zc3h11a,,,,,,,,,Gm6682,,,,,,
,,Zcchc11,,,,,,,,,Gm9320,,,,,,
,,Zcchc14,,,,,,,,,Gm962,,,,,,
,,Zdhhc1,,,,,,,,,Gmcl1,,,,,,
,,Zdhhc17,,,,,,,,,Gmds,,,,,,
,,Zdhhc24,,,,,,,,,Gmeb1,,,,,,
,,Zdhhc8,,,,,,,,,Gmeb2,,,,,,
,,Zfand3,,,,,,,,,Gmfb,,,,,,
,,Zfp142,,,,,,,,,Gmps,,,,,,
,,Zfp260,,,,,,,,,Gna15,,,,,,
,,Zfp275,,,,,,,,,Gnb1,,,,,,
,,Zfp354c,,,,,,,,,Gnl2,,,,,,
,,Zfp395,,,,,,,,,Gnl3,,,,,,
,,Zfp423,,,,,,,,,Gnl3l,,,,,,
,,Zfp503,,,,,,,,,Gnpat,,,,,,
,,Zfp521,,,,,,,,,Gnpnat1,,,,,,
,,Zfp536,,,,,,,,,Golga7,,,,,,
,,Zfp580,,,,,,,,,Golph3,,,,,,
,,Zfp637,,,,,,,,,Gorasp1,,,,,,
,,Zfp652,,,,,,,,,Gosr1,,,,,,
,,Zfp771,,,,,,,,,Got2,,,,,,
,,Zfp9,,,,,,,,,Gpaa1,,,,,,
,,Zfpm1,,,,,,,,,Gpbp1l1,,,,,,
,,Zfyve16,,,,,,,,,Gpd2,,,,,,
,,Zhx1,,,,,,,,,Gphn,,,,,,
,,Zhx3,,,,,,,,,Gpi1,,,,,,
,,Zmiz1,,,,,,,,,Gpld1,,,,,,
,,Zmynd11,,,,,,,,,Gpn2,,,,,,
,,Zswim6,,,,,,,,,Gpnmb,,,,,,
,,,,,,,,,,,Gpr126,,,,,,
,,,,,,,,,,,Gpr137,,,,,,
,,,,,,,,,,,Gpr137b,,,,,,
,,,,,,,,,,,Gpr137b-ps,,,,,,
,,,,,,,,,,,Gpr160,,,,,,
,,,,,,,,,,,Gpr39,,,,,,
,,,,,,,,,,,Gpr64,,,,,,
,,,,,,,,,,,Gpr87,,,,,,
,,,,,,,,,,,Gprc5a,,,,,,
,,,,,,,,,,,Gpt,,,,,,
,,,,,,,,,,,Gpt2,,,,,,
,,,,,,,,,,,Grb2,,,,,,
,,,,,,,,,,,Grb7,,,,,,
,,,,,,,,,,,Grhl2,,,,,,
,,,,,,,,,,,Grhpr,,,,,,
,,,,,,,,,,,Gripap1,,,,,,
,,,,,,,,,,,Grpel2,,,,,,
,,,,,,,,,,,Grtp1,,,,,,
,,,,,,,,,,,Grwd1,,,,,,
,,,,,,,,,,,Gss,,,,,,
,,,,,,,,,,,Gsto2,,,,,,
,,,,,,,,,,,Gstp2,,,,,,
,,,,,,,,,,,Gstt2,,,,,,
,,,,,,,,,,,Gt(ROSA)26Sor,,,,,,
,,,,,,,,,,,Gtf2f2,,,,,,
,,,,,,,,,,,Gtf2h1,,,,,,
,,,,,,,,,,,Gtf3c6,,,,,,
,,,,,,,,,,,Gtpbp1,,,,,,
,,,,,,,,,,,Gtpbp6,,,,,,
,,,,,,,,,,,Gyk,,,,,,
,,,,,,,,,,,Gys1,,,,,,
,,,,,,,,,,,H2-K1,,,,,,
,,,,,,,,,,,H2-Ke2,,,,,,
,,,,,,,,,,,H2-Ke6,,,,,,
,,,,,,,,,,,H3f3b,,,,,,
,,,,,,,,,,,H60c,,,,,,
,,,,,,,,,,,Hadh,,,,,,
,,,,,,,,,,,Hadha,,,,,,
,,,,,,,,,,,Hadhb,,,,,,
,,,,,,,,,,,Hagh,,,,,,
,,,,,,,,,,,Haghl,,,,,,
,,,,,,,,,,,Haus2,,,,,,
,,,,,,,,,,,Haus7,,,,,,
,,,,,,,,,,,Hax1,,,,,,
,,,,,,,,,,,Hccs,,,,,,
,,,,,,,,,,,Hcfc1r1,,,,,,
,,,,,,,,,,,Hdac3,,,,,,
,,,,,,,,,,,Hdgfrp2,,,,,,
,,,,,,,,,,,Heatr1,,,,,,
,,,,,,,,,,,Heatr2,,,,,,
,,,,,,,,,,,Heatr3,,,,,,
,,,,,,,,,,,Heatr7a,,,,,,
,,,,,,,,,,,Hectd1,,,,,,
,,,,,,,,,,,Herc4,,,,,,
,,,,,,,,,,,Hgfac,,,,,,
,,,,,,,,,,,Hgs,,,,,,
,,,,,,,,,,,Hiat1,,,,,,
,,,,,,,,,,,Hibadh,,,,,,
,,,,,,,,,,,Hibch,,,,,,
,,,,,,,,,,,Hic2,,,,,,
,,,,,,,,,,,Higd2a,,,,,,
,,,,,,,,,,,Hint3,,,,,,
,,,,,,,,,,,Hipk2,,,,,,
,,,,,,,,,,,Hist1h1c,,,,,,
,,,,,,,,,,,Hist1h1e,,,,,,
,,,,,,,,,,,Hist1h2bc,,,,,,
,,,,,,,,,,,Hist1h4d,,,,,,
,,,,,,,,,,,Hivep1,,,,,,
,,,,,,,,,,,Hivep2,,,,,,
,,,,,,,,,,,Hivep3,,,,,,
,,,,,,,,,,,Hk1,,,,,,
,,,,,,,,,,,Hlcs,,,,,,
,,,,,,,,,,,Hmga1,,,,,,
,,,,,,,,,,,Hmgb2,,,,,,
,,,,,,,,,,,Hmgb3,,,,,,
,,,,,,,,,,,Hmgcl,,,,,,
,,,,,,,,,,,Hmgcr,,,,,,
,,,,,,,,,,,Hmgcs1,,,,,,
,,,,,,,,,,,Hmgcs2,,,,,,
,,,,,,,,,,,Hmgn3,,,,,,
,,,,,,,,,,,Hmgn5,,,,,,
,,,,,,,,,,,Hn1l,,,,,,
,,,,,,,,,,,Hnf1b,,,,,,
,,,,,,,,,,,Hnrnpa3,,,,,,
,,,,,,,,,,,Hnrnpc,,,,,,
,,,,,,,,,,,Hnrnpd,,,,,,
,,,,,,,,,,,Hnrnpf,,,,,,
,,,,,,,,,,,Hnrnph2,,,,,,
,,,,,,,,,,,Hnrnpk,,,,,,
,,,,,,,,,,,Hnrnpm,,,,,,
,,,,,,,,,,,Hnrnpu,,,,,,
,,,,,,,,,,,Hnrpll,,,,,,
,,,,,,,,,,,Homer3,,,,,,
,,,,,,,,,,,Hook1,,,,,,
,,,,,,,,,,,Hook2,,,,,,
,,,,,,,,,,,Hopx,,,,,,
,,,,,,,,,,,Hoxa7,,,,,,
,,,,,,,,,,,Hoxa9,,,,,,
,,,,,,,,,,,Hoxb2,,,,,,
,,,,,,,,,,,Hoxd3,,,,,,
,,,,,,,,,,,Hoxd8,,,,,,
,,,,,,,,,,,Hprt,,,,,,
,,,,,,,,,,,Hps1,,,,,,
,,,,,,,,,,,Hps4,,,,,,
,,,,,,,,,,,Hr,,,,,,
,,,,,,,,,,,Hrsp12,,,,,,
,,,,,,,,,,,Hs6st1,,,,,,
,,,,,,,,,,,Hscb,,,,,,
,,,,,,,,,,,Hsd17b4,,,,,,
,,,,,,,,,,,Hsd17b7,,,,,,
,,,,,,,,,,,Hsf1,,,,,,
,,,,,,,,,,,Hspa4l,,,,,,
,,,,,,,,,,,Hspb1,,,,,,
,,,,,,,,,,,Hspbap1,,,,,,
,,,,,,,,,,,Hspd1,,,,,,
,,,,,,,,,,,Hyal1,,,,,,
,,,,,,,,,,,Hyal2,,,,,,
,,,,,,,,,,,Hyal3,,,,,,
,,,,,,,,,,,Iars,,,,,,
,,,,,,,,,,,Iars2,,,,,,
,,,,,,,,,,,Ica1,,,,,,
,,,,,,,,,,,Ick,,,,,,
,,,,,,,,,,,Ide,,,,,,
,,,,,,,,,,,Idh3a,,,,,,
,,,,,,,,,,,Idh3g,,,,,,
,,,,,,,,,,,Idi1,,,,,,
,,,,,,,,,,,Iffo2,,,,,,
,,,,,,,,,,,Ifrd2,,,,,,
,,,,,,,,,,,Ift52,,,,,,
,,,,,,,,,,,Igbp1,,,,,,
,,,,,,,,,,,Igdcc4,,,,,,
,,,,,,,,,,,Igf2,,,,,,
,,,,,,,,,,,Igf2bp2,,,,,,
,,,,,,,,,,,Igfbp3,,,,,,
,,,,,,,,,,,Igfbp5,,,,,,
,,,,,,,,,,,Ik,,,,,,
,,,,,,,,,,,Ikbkb,,,,,,
,,,,,,,,,,,Ikbkg,,,,,,
,,,,,,,,,,,Ikzf3,,,,,,
,,,,,,,,,,,Il10rb,,,,,,
,,,,,,,,,,,Il13ra1,,,,,,
,,,,,,,,,,,Ilf3,,,,,,
,,,,,,,,,,,Ilvbl,,,,,,
,,,,,,,,,,,Immt,,,,,,
,,,,,,,,,,,Imp4,,,,,,
,,,,,,,,,,,Impdh1,,,,,,
,,,,,,,,,,,Inadl,,,,,,
,,,,,,,,,,,Ino80,,,,,,
,,,,,,,,,,,Insl6,,,,,,
,,,,,,,,,,,Ints10,,,,,,
,,,,,,,,,,,Ints4,,,,,,
,,,,,,,,,,,Ints5,,,,,,
,,,,,,,,,,,Ints7,,,,,,
,,,,,,,,,,,Ip6k1,,,,,,
,,,,,,,,,,,Ipo5,,,,,,
,,,,,,,,,,,Ippk,,,,,,
,,,,,,,,,,,Iqcb1,,,,,,
,,,,,,,,,,,Irf2bp1,,,,,,
,,,,,,,,,,,Isg20l2,,,,,,
,,,,,,,,,,,Isyna1,,,,,,
,,,,,,,,,,,Itfg1,,,,,,
,,,,,,,,,,,Itfg3,,,,,,
,,,,,,,,,,,Itga2,,,,,,
,,,,,,,,,,,Itgb6,,,,,,
,,,,,,,,,,,Itm2b,,,,,,
,,,,,,,,,,,Itpr3,,,,,,
,,,,,,,,,,,Itpripl1,,,,,,
,,,,,,,,,,,Itsn2,,,,,,
,,,,,,,,,,,Ivd,,,,,,
,,,,,,,,,,,Jag2,,,,,,
,,,,,,,,,,,Jagn1,,,,,,
,,,,,,,,,,,Jak3,,,,,,
,,,,,,,,,,,Jhdm1d,,,,,,
,,,,,,,,,,,Josd1,,,,,,
,,,,,,,,,,,Kars,,,,,,
,,,,,,,,,,,Kat5,,,,,,
,,,,,,,,,,,Katna1,,,,,,
,,,,,,,,,,,Kbtbd2,,,,,,
,,,,,,,,,,,Kcmf1,,,,,,
,,,,,,,,,,,Kcne1,,,,,,
,,,,,,,,,,,Kctd1,,,,,,
,,,,,,,,,,,Kctd12,,,,,,
,,,,,,,,,,,Kctd15,,,,,,
,,,,,,,,,,,Kctd5,,,,,,
,,,,,,,,,,,Kdm1b,,,,,,
,,,,,,,,,,,Kdm3b,,,,,,
,,,,,,,,,,,Kdm4a,,,,,,
,,,,,,,,,,,Kdm4b,,,,,,
,,,,,,,,,,,Kdm5a,,,,,,
,,,,,,,,,,,Khdrbs1,,,,,,
,,,,,,,,,,,Kidins220,,,,,,
,,,,,,,,,,,Kif21a,,,,,,
,,,,,,,,,,,Kif23,,,,,,
,,,,,,,,,,,Kif5b,,,,,,
,,,,,,,,,,,Kif5c,,,,,,
,,,,,,,,,,,Kin,,,,,,
,,,,,,,,,,,Kitl,,,,,,
,,,,,,,,,,,Klc4,,,,,,
,,,,,,,,,,,Klf10,,,,,,
,,,,,,,,,,,Klf11,,,,,,
,,,,,,,,,,,Klf16,,,,,,
,,,,,,,,,,,Klhdc4,,,,,,
,,,,,,,,,,,Klhl12,,,,,,
,,,,,,,,,,,Klhl17,,,,,,
,,,,,,,,,,,Klhl2,,,,,,
,,,,,,,,,,,Klhl21,,,,,,
,,,,,,,,,,,Klhl24,,,,,,
,,,,,,,,,,,Klhl25,,,,,,
,,,,,,,,,,,Klhl26,,,,,,
,,,,,,,,,,,Klrg2,,,,,,
,,,,,,,,,,,Kpna2,,,,,,
,,,,,,,,,,,Kpna3,,,,,,
,,,,,,,,,,,Kpna6,,,,,,
,,,,,,,,,,,Krr1,,,,,,
,,,,,,,,,,,Krt1,,,,,,
,,,,,,,,,,,Krt13,,,,,,
,,,,,,,,,,,Kti12,,,,,,
,,,,,,,,,,,Ktn1,,,,,,
,,,,,,,,,,,L1cam,,,,,,
,,,,,,,,,,,L3mbtl2,,,,,,
,,,,,,,,,,,LOC433944,,,,,,
,,,,,,,,,,,Lactb,,,,,,
,,,,,,,,,,,Lactb2,,,,,,
,,,,,,,,,,,Lama3,,,,,,
,,,,,,,,,,,Lamtor2,,,,,,
,,,,,,,,,,,Lancl1,,,,,,
,,,,,,,,,,,Lancl3,,,,,,
,,,,,,,,,,,Larp1b,,,,,,
,,,,,,,,,,,Larp4,,,,,,
,,,,,,,,,,,Larp4b,,,,,,
,,,,,,,,,,,Lars,,,,,,
,,,,,,,,,,,Lass6,,,,,,
,,,,,,,,,,,Lcor,,,,,,
,,,,,,,,,,,Lcorl,,,,,,
,,,,,,,,,,,Lcp1,,,,,,
,,,,,,,,,,,Ldha,,,,,,
,,,,,,,,,,,Ldhd,,,,,,
,,,,,,,,,,,Ldlrap1,,,,,,
,,,,,,,,,,,Leng8,,,,,,
,,,,,,,,,,,Leng9,,,,,,
,,,,,,,,,,,Leprel1,,,,,,
,,,,,,,,,,,Lgals4,,,,,,
,,,,,,,,,,,Lgr4,,,,,,
,,,,,,,,,,,Lig1,,,,,,
,,,,,,,,,,,Lig3,,,,,,
,,,,,,,,,,,Limd2,,,,,,
,,,,,,,,,,,Limk2,,,,,,
,,,,,,,,,,,Lin7c,,,,,,
,,,,,,,,,,,Liph,,,,,,
,,,,,,,,,,,Lman2,,,,,,
,,,,,,,,,,,Lman2l,,,,,,
,,,,,,,,,,,Lmbrd2,,,,,,
,,,,,,,,,,,Lmnb1,,,,,,
,,,,,,,,,,,Lmtk2,,,,,,
,,,,,,,,,,,Lnx1,,,,,,
,,,,,,,,,,,Lonp1,,,,,,
,,,,,,,,,,,Lonp2,,,,,,
,,,,,,,,,,,Lonrf1,,,,,,
,,,,,,,,,,,Lpar3,,,,,,
,,,,,,,,,,,Lpar6,,,,,,
,,,,,,,,,,,Lpcat2,,,,,,
,,,,,,,,,,,Lpcat3,,,,,,
,,,,,,,,,,,Lpcat4,,,,,,
,,,,,,,,,,,Lpin3,,,,,,
,,,,,,,,,,,Lrpprc,,,,,,
,,,,,,,,,,,Lrrc1,,,,,,
,,,,,,,,,,,Lrrc40,,,,,,
,,,,,,,,,,,Lrrc41,,,,,,
,,,,,,,,,,,Lrrc47,,,,,,
,,,,,,,,,,,Lrrc51,,,,,,
,,,,,,,,,,,Lrrc8d,,,,,,
,,,,,,,,,,,Lrrc8e,,,,,,
,,,,,,,,,,,Lrrfip2,,,,,,
,,,,,,,,,,,Lsg1,,,,,,
,,,,,,,,,,,Lsm1,,,,,,
,,,,,,,,,,,Lsm12,,,,,,
,,,,,,,,,,,Lsm14a,,,,,,
,,,,,,,,,,,Lss,,,,,,
,,,,,,,,,,,Ltv1,,,,,,
,,,,,,,,,,,Luc7l,,,,,,
,,,,,,,,,,,Luzp1,,,,,,
,,,,,,,,,,,Lyar,,,,,,
,,,,,,,,,,,Lyn,,,,,,
,,,,,,,,,,,Lypd6b,,,,,,
,,,,,,,,,,,Lypla1,,,,,,
,,,,,,,,,,,Lypla2,,,,,,
,,,,,,,,,,,Lyrm4,,,,,,
,,,,,,,,,,,Lzic,,,,,,
,,,,,,,,,,,Macc1,,,,,,
,,,,,,,,,,,Macrod1,,,,,,
,,,,,,,,,,,Maea,,,,,,
,,,,,,,,,,,Mafb,,,,,,
,,,,,,,,,,,Mafg,,,,,,
,,,,,,,,,,,Mafk,,,,,,
,,,,,,,,,,,Magi3,,,,,,
,,,,,,,,,,,Magohb,,,,,,
,,,,,,,,,,,Mak16,,,,,,
,,,,,,,,,,,Maml2,,,,,,
,,,,,,,,,,,Man1c1,,,,,,
,,,,,,,,,,,Man2c1,,,,,,
,,,,,,,,,,,Map2k1,,,,,,
,,,,,,,,,,,Map2k2,,,,,,
,,,,,,,,,,,Map2k3,,,,,,
,,,,,,,,,,,Map2k4,,,,,,
,,,,,,,,,,,Map3k1,,,,,,
,,,,,,,,,,,Map3k11,,,,,,
,,,,,,,,,,,Map3k9,,,,,,
,,,,,,,,,,,Map4k2,,,,,,
,,,,,,,,,,,Mapk1ip1l,,,,,,
,,,,,,,,,,,Mapkapk2,,,,,,
,,,,,,,,,,,Mapre2,,,,,,
,,,,,,,,,,,March5,,,,,,
,,,,,,,,,,,March6,,,,,,
,,,,,,,,,,,March7,,,,,,
,,,,,,,,,,,Mark3,,,,,,
,,,,,,,,,,,Mark4,,,,,,
,,,,,,,,,,,Mars,,,,,,
,,,,,,,,,,,Marveld3,,,,,,
,,,,,,,,,,,Mast1,,,,,,
,,,,,,,,,,,Mat2a,,,,,,
,,,,,,,,,,,Mat2b,,,,,,
,,,,,,,,,,,Mau2,,,,,,
,,,,,,,,,,,Max,,,,,,
,,,,,,,,,,,Mbd6,,,,,,
,,,,,,,,,,,Mbnl3,,,,,,
,,,,,,,,,,,Mboat1,,,,,,
,,,,,,,,,,,Mboat2,,,,,,
,,,,,,,,,,,Mbtd1,,,,,,
,,,,,,,,,,,Mccc1,,,,,,
,,,,,,,,,,,Mccc2,,,,,,
,,,,,,,,,,,Mcm2,,,,,,
,,,,,,,,,,,Mcmbp,,,,,,
,,,,,,,,,,,Mctp2,,,,,,
,,,,,,,,,,,Mcts2,,,,,,
,,,,,,,,,,,Mdh2,,,,,,
,,,,,,,,,,,Mdm4,,,,,,
,,,,,,,,,,,Mdn1,,,,,,
,,,,,,,,,,,Me2,,,,,,
,,,,,,,,,,,Mea1,,,,,,
,,,,,,,,,,,Meaf6,,,,,,
,,,,,,,,,,,Med1,,,,,,
,,,,,,,,,,,Med10,,,,,,
,,,,,,,,,,,Med14,,,,,,
,,,,,,,,,,,Med17,,,,,,
,,,,,,,,,,,Med19,,,,,,
,,,,,,,,,,,Med20,,,,,,
,,,,,,,,,,,Med22,,,,,,
,,,,,,,,,,,Med29,,,,,,
,,,,,,,,,,,Med30,,,,,,
,,,,,,,,,,,Med4,,,,,,
,,,,,,,,,,,Med7,,,,,,
,,,,,,,,,,,Med8,,,,,,
,,,,,,,,,,,Med9,,,,,,
,,,,,,,,,,,Megf9,,,,,,
,,,,,,,,,,,Memo1,,,,,,
,,,,,,,,,,,Met,,,,,,
,,,,,,,,,,,Metap1,,,,,,
,,,,,,,,,,,Metap2,,,,,,
,,,,,,,,,,,Mettl3,,,,,,
,,,,,,,,,,,Mettl6,,,,,,
,,,,,,,,,,,Mettl9,,,,,,
,,,,,,,,,,,Mfap1b,,,,,,
,,,,,,,,,,,Mfap3l,,,,,,
,,,,,,,,,,,Mfn1,,,,,,
,,,,,,,,,,,Mfn2,,,,,,
,,,,,,,,,,,Mfsd10,,,,,,
,,,,,,,,,,,Mfsd4,,,,,,
,,,,,,,,,,,Mfsd5,,,,,,
,,,,,,,,,,,Mfsd6,,,,,,
,,,,,,,,,,,Mgat3,,,,,,
,,,,,,,,,,,Mgat5,,,,,,
,,,,,,,,,,,Mgea5,,,,,,
,,,,,,,,,,,Mgmt,,,,,,
,,,,,,,,,,,Micu1,,,,,,
,,,,,,,,,,,Mid1ip1,,,,,,
,,,,,,,,,,,Mif4gd,,,,,,
,,,,,,,,,,,Mina,,,,,,
,,,,,,,,,,,Mink1,,,,,,
,,,,,,,,,,,Minpp1,,,,,,
,,,,,,,,,,,Mipol1,,,,,,
,,,,,,,,,,,Mir31,,,,,,
,,,,,,,,,,,Mir682,,,,,,
,,,,,,,,,,,Mki67ip,,,,,,
,,,,,,,,,,,Mkks,,,,,,
,,,,,,,,,,,Mkl2,,,,,,
,,,,,,,,,,,Mknk2,,,,,,
,,,,,,,,,,,Mkrn1,,,,,,
,,,,,,,,,,,Mlf2,,,,,,
,,,,,,,,,,,Mlkl,,,,,,
,,,,,,,,,,,Mll2,,,,,,
,,,,,,,,,,,Mllt1,,,,,,
,,,,,,,,,,,Mlph,,,,,,
,,,,,,,,,,,Mmaa,,,,,,
,,,,,,,,,,,Mmachc,,,,,,
,,,,,,,,,,,Mmadhc,,,,,,
,,,,,,,,,,,Mmp28,,,,,,
,,,,,,,,,,,Mms19,,,,,,
,,,,,,,,,,,Mob1b,,,,,,
,,,,,,,,,,,Mocs1,,,,,,
,,,,,,,,,,,Mocs3,,,,,,
,,,,,,,,,,,Mogs,,,,,,
,,,,,,,,,,,Mon1a,,,,,,
,,,,,,,,,,,Mospd2,,,,,,
,,,,,,,,,,,Mphosph10,,,,,,
,,,,,,,,,,,Mphosph6,,,,,,
,,,,,,,,,,,Mpp2,,,,,,
,,,,,,,,,,,Mpp7,,,,,,
,,,,,,,,,,,Mpped2,,,,,,
,,,,,,,,,,,Mpzl3,,,,,,
,,,,,,,,,,,Mri1,,,,,,
,,,,,,,,,,,Mrpl12,,,,,,
,,,,,,,,,,,Mrpl17,,,,,,
,,,,,,,,,,,Mrpl19,,,,,,
,,,,,,,,,,,Mrpl2,,,,,,
,,,,,,,,,,,Mrpl21,,,,,,
,,,,,,,,,,,Mrpl23,,,,,,
,,,,,,,,,,,Mrpl24,,,,,,
,,,,,,,,,,,Mrpl28,,,,,,
,,,,,,,,,,,Mrpl30,,,,,,
,,,,,,,,,,,Mrpl32,,,,,,
,,,,,,,,,,,Mrpl37,,,,,,
,,,,,,,,,,,Mrpl38,,,,,,
,,,,,,,,,,,Mrpl39,,,,,,
,,,,,,,,,,,Mrpl42,,,,,,
,,,,,,,,,,,Mrpl43,,,,,,
,,,,,,,,,,,Mrpl44,,,,,,
,,,,,,,,,,,Mrpl45,,,,,,
,,,,,,,,,,,Mrpl46,,,,,,
,,,,,,,,,,,Mrpl47,,,,,,
,,,,,,,,,,,Mrpl50,,,,,,
,,,,,,,,,,,Mrpl51,,,,,,
,,,,,,,,,,,Mrpl53,,,,,,
,,,,,,,,,,,Mrpl9,,,,,,
,,,,,,,,,,,Mrps10,,,,,,
,,,,,,,,,,,Mrps14,,,,,,
,,,,,,,,,,,Mrps15,,,,,,
,,,,,,,,,,,Mrps18c,,,,,,
,,,,,,,,,,,Mrps2,,,,,,
,,,,,,,,,,,Mrps22,,,,,,
,,,,,,,,,,,Mrps23,,,,,,
,,,,,,,,,,,Mrps26,,,,,,
,,,,,,,,,,,Mrps30,,,,,,
,,,,,,,,,,,Mrps31,,,,,,
,,,,,,,,,,,Mrps34,,,,,,
,,,,,,,,,,,Mrps35,,,,,,
,,,,,,,,,,,Mrps6,,,,,,
,,,,,,,,,,,Mrps7,,,,,,
,,,,,,,,,,,Mrps9,,,,,,
,,,,,,,,,,,Mrto4,,,,,,
,,,,,,,,,,,Msh2,,,,,,
,,,,,,,,,,,Msh6,,,,,,
,,,,,,,,,,,Msl3,,,,,,
,,,,,,,,,,,Msra,,,,,,
,,,,,,,,,,,Msto1,,,,,,
,,,,,,,,,,,Mta2,,,,,,
,,,,,,,,,,,Mta3,,,,,,
,,,,,,,,,,,Mtap1s,,,,,,
,,,,,,,,,,,Mtap7,,,,,,
,,,,,,,,,,,Mtf1,,,,,,
,,,,,,,,,,,Mtfr1,,,,,,
,,,,,,,,,,,Mtg1,,,,,,
,,,,,,,,,,,Mthfd1,,,,,,
,,,,,,,,,,,Mthfd2,,,,,,
,,,,,,,,,,,Mthfd2l,,,,,,
,,,,,,,,,,,Mthfsd,,,,,,
,,,,,,,,,,,Mtmr12,,,,,,
,,,,,,,,,,,Mtmr3,,,,,,
,,,,,,,,,,,Mto1,,,,,,
,,,,,,,,,,,Mtor,,,,,,
,,,,,,,,,,,Mtpap,,,,,,
,,,,,,,,,,,Mtss1,,,,,,
,,,,,,,,,,,Mtx2,,,,,,
,,,,,,,,,,,Mudeng,,,,,,
,,,,,,,,,,,Mul1,,,,,,
,,,,,,,,,,,Mvd,,,,,,
,,,,,,,,,,,Mvk,,,,,,
,,,,,,,,,,,Mvp,,,,,,
,,,,,,,,,,,Mxi1,,,,,,
,,,,,,,,,,,Mybbp1a,,,,,,
,,,,,,,,,,,Mycbp,,,,,,
,,,,,,,,,,,Mycl1,,,,,,
,,,,,,,,,,,Myef2,,,,,,
,,,,,,,,,,,Mynn,,,,,,
,,,,,,,,,,,Myo18a,,,,,,
,,,,,,,,,,,Myo1b,,,,,,
,,,,,,,,,,,Myo5b,,,,,,
,,,,,,,,,,,Mysm1,,,,,,
,,,,,,,,,,,Myst2,,,,,,
,,,,,,,,,,,Mzt1,,,,,,
,,,,,,,,,,,N4bp1,,,,,,
,,,,,,,,,,,N4bp2l1,,,,,,
,,,,,,,,,,,N4bp2l2,,,,,,
,,,,,,,,,,,N6amt1,,,,,,
,,,,,,,,,,,Naa15,,,,,,
,,,,,,,,,,,Naa20,,,,,,
